date,age,stack,exp,salary,location
2016-01-10,25,.NET,2,3 800 pln netto uop,Sieradz
2016-01-10,24,PHP,1,2 800 pln netto uop,Wrocław
2016-01-12,25,Javascript,2,7 100 pln netto b2b,Katowice
2016-01-13,28,Architekt,10,2 000 pln netto ?,"Niewielkie Miasto W Uk, Daleko Od Londynu"
2016-01-13,25,Java,2,1 800 pln netto uop,Kraków
2016-01-15,24,Android,0.83,1 400 pln netto uz,Białystok
2016-01-20,23,Scala,1,4 000 pln netto uz,Kraków
2016-01-21,24,Dev,2,13 400 pln netto b2b,Warszawa
2016-01-22,23,.NET,2,5 000 pln ! uz,Warszawa
2016-01-23,27,.NET,0.83,5 000 pln brutto uop,Gdańsk
2016-01-24,30,PHP,7,6 500 pln netto b2b,Wrocław
2016-01-27,28,PHP,4.5,5 300 pln netto uop,Poznań
2016-01-27,22,.NET,0.5,1 200 pln netto ?,Kraków
2016-01-29,26,Tester,3.5,5 600 pln brutto uop,Kraków
2016-01-29,20,Java,0.25,4 100 pln brutto uz,Wrocław
2016-01-29,23,Java,0.25,3 300 pln netto uz,Warszawa
2016-01-30,20,Javascript,0.17,4 000 pln brutto uop,Wrocław
2016-02-02,29,Python,2.5,6 000 pln brutto uop,Wrocław
2016-02-08,31,C++,3,8 000 pln netto uop,Kraków
2016-02-10,33,Javascript,10,10 500 pln ! ?,Poznań
2016-02-10,22,Java,0.33,2 800 pln netto uz,Łódź
2016-02-17,20,Tester Manualny,0.25,2 000 pln netto uz,Kraków
2016-02-18,21,Python,0.17,2 000 pln netto uz,Gdynia
2016-02-18,20,Monter Konstrukcji Stalowych ,0,13 000 pln netto uop,Malmo
2016-02-21,34,C++,9,12 000 usd netto ?,Chicago
2016-02-22,29,Java,6,7 000 pln brutto ?,Śląsk
2016-02-22,22,Sas,0.5,6 000 pln brutto uz,Warszawa
2016-02-24,30,Admin,10,39 000 pln brutto uop,Londyn
2016-02-25,24,C++,1,4 300 pln netto ?,Wrocław
2016-02-26,21,PHP,0.67,4 000 pln netto uod,Warszawa
2016-03-16,27,.NET,3,12 800 pln netto b2b,Rzeszów
2016-03-16,25,Java,0.33,2 500 pln netto uop,Katowice
2016-03-17,25,Python,1,6 750 pln ! uop,Woclaw
2016-03-17,23,Javascript,0.83,4 800 pln netto uz,Warszawa
2016-03-17,34,.NET,10,13 500 pln netto b2b,Warszawa
2016-03-19,21,Android,0,2 500 pln netto uop,Warszawa
2016-03-20,28,Java,0.25,3 800 pln netto uop,Warszawa
2016-03-22,23,PHP,2,7 000 pln netto b2b,Wrocław
2016-03-23,31,.NET,9,14 000 pln netto b2b,Lublin
2016-03-23,25,Java,4,11 000 pln netto ?,Wielka Brytania
2016-03-26,26,Java,3.5,8 000 pln brutto uop,Łódź
2016-03-28,28,Programista C,8,8 500 pln brutto ?,Warszawa
2016-04-01,25,SQL,0,2 800 pln netto uop,Warszawa
2016-04-05,26,Python,3,5 100 pln netto uop,Poznań
2016-04-14,23,Java,2,8 000 pln brutto uop,Wrocław
2016-04-14,25,Java,2,2 500 pln netto ?,Szczecin
2016-04-15,30,Java,4,3 400 pln netto uop,Kraków
2016-04-18,31,.NET,9,16 000 pln netto b2b,Lublin
2016-04-27,22,Tester Automatyczny,1.5,10 400 pln netto b2b,Kraków
2016-04-28,22,PHP,2,3 000 pln netto uop,Łódź
2016-04-30,28,Tester Automatyczny,5,8 000 pln ! uop,Kraków
2016-05-02,28,Programista C,8,9 200 pln brutto ?,Warszawa
2016-05-06,23,Embedded,3,12 000 pln brutto uop,Warszawa
2016-05-06,20,Java,0.5,4 700 pln brutto uz,Wrocław
2016-05-07,19,Junior Software Engineer ,0,3 000 pln brutto uop,Kraków
2016-05-13,27,.NET,4,4 500 pln netto uop,Poznań
2016-05-15,24,Java,2.92,4 500 pln netto uod,Kraków
2016-05-18,32,Javascript,10,20 000 pln netto b2b,Zdalnie
2016-05-22,30,C++,3,7 200 pln ! uop,Wrocław
2016-05-26,32,Java,5,5 000 pln brutto uop,Lublin
2016-06-02,33,PHP,10,6 350 pln netto uop,Poznań
2016-06-03,25,.NET,0.83,5 200 pln netto uop,Szczecin
2016-06-05,23,PHP,1.5,2 800 pln brutto ?,Katowice
2016-06-06,22,Java,0.08,3 500 pln brutto ?,Kraków
2016-06-07,47,Starszy Programista,25,10 300 pln brutto uop,Kraków
2016-06-07,19,Java,0.5,3 800 pln netto uod,Warszawa
2016-06-09,22,.NET,1.25,4 300 pln netto b2b,Poznań
2016-06-11,23,C++,0,5 400 pln brutto uop,Wrocław
2016-06-13,34,.NET,10,7 000 pln netto uop,Bydgoszcz
2016-06-15,22,Java,0.83,4 800 pln netto uop,Kraków
2016-06-16,24,Java,0.5,3 600 pln netto uod,Warszawa
2016-06-18,22,Javascript,1.5,4 500 pln netto uz,Warszawa
2016-06-19,31,Java,6,7 000 pln brutto uop,Szczecin
2016-06-19,28,.NET,0,4 800 pln netto b2b,Warszawa
2016-06-20,21,Java,0,4 500 pln brutto ?,Gdańsk
2016-06-22,27,SQL,2,5 000 pln netto uop,Kraków
2016-06-23,20,Java,0.25,2 200 pln brutto ?,Gdańsk
2016-06-23,24,Java,2,14 000 pln netto b2b,Gdańsk
2016-06-23,28,Erp ,4,11 000 pln brutto uop,Kraków
2016-06-25,23,.NET,1.5,3 000 pln netto ?,Kraków
2016-06-28,39,Ruby,18,19 500 pln brutto uop,Warszawa
2016-07-01,28,.NET,1.5,5 000 pln brutto ?,Gdańsk
2016-07-03,27,Java,3,10 000 pln netto b2b,Warszawa
2016-07-03,35,Devops,1,13 000 pln brutto uop,Warszawa
2016-07-05,26,Java,2,10 000 pln brutto uop,Kraków
2016-07-06,20,Java,0.67,7 400 pln brutto uod,Wrocław
2016-07-06,29,Java,4,8 500 pln netto uop,Poznań
2016-07-06,35,C++,10,2 400 eur netto uop,"Wieden, Austria"
2016-07-06,31,C++,2.33,5 900 pln netto uop,Kraków
2016-07-07,28,Java,0.08,5 500 pln brutto uop,Warszawa
2016-07-07,28,Javascript,0.5,8 300 pln netto b2b,Warszawa
2016-07-09,29,Python,0.67,3 200 pln netto uop,Warszawa
2016-07-12,21,PHP,1.08,6 000 pln netto uod,Warszawa
2016-07-12,26,PHP,1.83,3 400 pln netto uod,Białystok
2016-07-12,28,Javascript,5,14 000 pln netto b2b,Wrocław
2016-07-17,23,Java,2,7 500 pln brutto uop,Gdańsk
2016-07-26,24,Java,1,3 500 pln brutto b2b,Warszawa
2016-08-03,27,.NET,3,5 900 pln netto uop,Kraków
2016-08-07,28,Android,4,7 500 pln netto uz,Gdańsk
2016-08-11,25,.NET,0,4 000 pln brutto uop,Łódź
2016-08-16,28,Javascript,0.75,2 400 pln netto uod,Wrocław
2016-08-16,22,.NET,0.25,5 000 pln netto ?,Zdalnie
2016-08-18,26,Java,6,11 000 pln brutto uop,Kraków
2016-08-18,25,Tester,1,7 000 pln brutto ?,Kraków
2016-08-19,22,Javascript,1.5,4 000 pln netto b2b,Gdynia
2016-08-20,27,Admin,8,15 000 pln brutto ?,Warszawa
2016-08-22,32,Tester Automatyczny,11,14 500 pln brutto uop,Kraków
2016-08-22,23,Java,1.5,7 800 pln netto b2b,Katowice
2016-08-22,25,Java,2.5,10 000 pln brutto uop,Kraków
2016-08-23,24,Java,3,10 500 pln brutto uop,Wrocław
2016-08-23,27,Software Engineer,4,12 000 pln netto b2b,Warszawa
2016-08-24,21,Tester,0,2 500 pln ! uz,Warszawa
2016-08-24,22,Tester,0.08,2 000 pln ! ?,Katowice
2016-08-30,30,Java,1.5,8 000 pln brutto uop,Poznań
2016-08-30,26,Tester,3,6 300 pln brutto uop,Kraków
2016-08-31,31,Java,9,5 400 pln ! uop,Bielsko-Biala
2016-08-31,24,PHP,4,9 000 pln netto b2b,Wrocław
2016-09-01,34,Java,11,12 000 pln netto b2b,Gdańsk
2016-09-06,29,.NET,11,22 300 pln brutto uop,Zdalnie
2016-09-07,29,Java,4,9 200 pln netto uop,Poznań
2016-09-07,27,PHP,0.42,2 520 pln netto uop,Wrocław
2016-09-08,21,Java,0.17,2 739 pln netto uz,Poznań
2016-09-10,20,Cobol,0,3 650 pln netto uop,Warszawa
2016-09-10,25,Tester,2.5,5 000 pln netto uop,Gdańsk
2016-09-12,32,Programista,11,4 600 pln netto uop,Łódź
2016-09-12,27,.NET,2,8 000 pln brutto uop,Wrocław
2016-09-13,33,.NET,12,7 000 pln netto uop,Kraków
2016-09-19,26,Tester,3,12 500 pln netto b2b,Kraków
2016-09-20,25,.NET,1,3 000 pln netto uop,Kraków
2016-09-22,28,Java,0,6 500 pln brutto uop,Warszawa
2016-09-22,24,Java,0.75,5 000 pln netto uod,Warszawa
2016-10-04,26,Javascript,0.25,3 400 pln netto uod,Warszawa
2016-10-04,25,Python,2.17,6 000 pln netto uop,Warszawa
2016-10-06,29,PHP,5,11 200 pln netto b2b,Zdalnie
2016-10-06,23,.NET,1,3 500 pln netto uop,Warszawa
2016-10-08,28,Android,3,8 000 pln netto b2b,Katowice
2016-10-24,30,Java,4,10 000 pln brutto uop,Wrocław
2016-10-25,27,.NET,1,4 700 pln netto ?,Kraków
2016-10-26,26,.NET,3,8 300 pln brutto uop,Kraków
2016-11-01,21,Python,0,40 000 pln netto uop,Katowice
2016-11-03,20,Java,0.5,4 600 pln netto uop,Gdańsk
2016-11-04,27,Javascript,3,15 500 pln netto b2b,Zdalnie
2016-11-04,24,.NET,0.5,4 200 pln brutto uop,Katowice
2016-11-04,26,.NET,0,3 200 pln brutto uop,Wrocław
2016-11-07,24,Javascript,2.5,12 500 pln brutto uop,Kraków
2016-11-11,38,Javascript,0.08,2 500 pln netto uop,Warszawa
2016-11-14,27,Brak,1.5,3 000 pln netto uop,Wies W Malopolsce
2016-11-14,28,PHP,5,8 500 pln brutto b2b,Poznań
2016-11-15,22,.NET,0.5,7 000 pln netto ?,Zdalnie
2016-11-16,30,Javascript,6,22 000 pln netto uop,Leeds
2016-11-20,26,Javascript,4,16 000 pln netto b2b,Zdalnie
2016-11-23,29,Analityk,3,4 500 pln brutto uop,Kraków
2016-11-28,19,Java,0.9,7 000 pln netto uod,Warszawa
2016-11-30,23,C++,0.25,3 000 pln netto uod,Warszawa
